taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory
2553044,Stereum ostrea (Blume & T.Nees) Fr.,2553044,Stereum ostrea (Blume & T.Nees) Fr.,941,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Russulales,1144,Stereaceae,3279,Stereum,2513764,Stereum ostrea,2553044,NE
2549725,Ganoderma curtisii (Berk.) Murrill,2549725,Ganoderma curtisii (Berk.) Murrill,931,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Ganodermataceae,3290,Ganoderma,2519220,Ganoderma curtisii,2549725,NE
5241128,Schizophyllum commune Fr.,5241128,Schizophyllum commune Fr.,924,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Schizophyllaceae,4185,Schizophyllum,2529580,Schizophyllum commune,5241128,NE
2535598,Leucocoprinus birnbaumii (Corda) Singer,2535598,Leucocoprinus birnbaumii (Corda) Singer,828,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Agaricaceae,4170,Leucocoprinus,2535536,Leucocoprinus birnbaumii,2535598,NE
9661781,Amanita persicina (D.T.Jenkins) Tulloss & Geml,9661781,Amanita persicina (D.T.Jenkins) Tulloss & Geml,808,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Amanitaceae,4171,Amanita,6005964,Amanita persicina,9661781,NE
10852503,Apioperdon pyriforme (Schaeff.) Vizzini,10852503,Apioperdon pyriforme (Schaeff.) Vizzini,772,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Agaricaceae,4170,Apioperdon,10676978,Apioperdon pyriforme,10852503,NE
6014309,Phallus ravenelii Berk. & M.A.Curtis,6014309,Phallus ravenelii Berk. & M.A.Curtis,657,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Phallales,532,Phallaceae,3292,Phallus,2524102,Phallus ravenelii,6014309,NE
5247228,Trichaptum biforme (Fr.) Ryvarden,5247228,Trichaptum biforme (Fr.) Ryvarden,653,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Hymenochaetales,1304,,,Trichaptum,2519062,Trichaptum biforme,5247228,NE
2553040,Stereum lobatum (Kunze ex Fr.) Fr.,2553040,Stereum lobatum (Kunze ex Fr.) Fr.,582,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Russulales,1144,Stereaceae,3279,Stereum,2513764,Stereum lobatum,2553040,NE
9259588,Trametes lactinea Berk.,9259588,Trametes lactinea Berk.,569,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Polyporaceae,3286,Trametes,2519084,Trametes lactinea,9259588,NE
5239471,Mutinus elegans (Mont.) E.Fisch.,5239471,Mutinus elegans (Mont.) E.Fisch.,557,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Phallales,532,Phallaceae,3292,Mutinus,2523984,Mutinus elegans,5239471,NE
2526530,Pleurotus ostreatus (Jacq.) P.Kumm.,2526530,Pleurotus ostreatus (Jacq.) P.Kumm.,538,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Pleurotaceae,4183,Pleurotus,2518610,Pleurotus ostreatus,2526530,NE
5954508,Trametes betulina (L.) Pilát,5465199,Lenzites betulinus (L.) Fr.,537,SPECIES,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Polyporaceae,3286,Lenzites,2519064,Lenzites betulinus,5465199,NE
5452395,Amanita jacksonii Pomerl.,5452395,Amanita jacksonii Pomerl.,528,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Amanitaceae,4171,Amanita,6005964,Amanita jacksonii,5452395,NE
8338709,Amanita parcivolvata (Peck) E.-J.Gilbert,8338709,Amanita parcivolvata (Peck) E.-J.Gilbert,514,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Amanitaceae,4171,Amanita,6005964,Amanita parcivolvata,8338709,NE
9072021,Laetiporus sulphureus (Bull.) Murrill,9072021,Laetiporus sulphureus (Bull.) Murrill,513,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Fomitopsidaceae,7619,Laetiporus,2542160,Laetiporus sulphureus,9072021,NE
2520036,Pseudoinonotus dryadeus (Pers.) T.Wagner & M.Fisch.,2520036,Pseudoinonotus dryadeus (Pers.) T.Wagner & M.Fisch.,512,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Hymenochaetales,1304,Hymenochaetaceae,8468,Pseudoinonotus,2520028,Pseudoinonotus dryadeus,2520036,NE
8659282,Leucocoprinus fragilissimus (Ravenel ex Berk. & M.A.Curtis) Pat.,8659282,Leucocoprinus fragilissimus (Ravenel ex Berk. & M.A.Curtis) Pat.,494,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Agaricaceae,4170,Leucocoprinus,2535536,Leucocoprinus fragilissimus,8659282,NE
8023186,Calostoma cinnabarinum Desv.,8023186,Calostoma cinnabarinum Desv.,491,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Boletales,1063,Calostomataceae,4189,Calostoma,2524283,Calostoma cinnabarinum,8023186,NE
2538084,Omphalotus illudens (Schwein.) Bresinsky & Besl,2538084,Omphalotus illudens (Schwein.) Bresinsky & Besl,487,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Omphalotaceae,3305518,Omphalotus,2525554,Omphalotus illudens,2538084,NE
2540787,Meripilus sumstinei (Murrill) M.J.Larsen & Lombard,2540787,Meripilus sumstinei (Murrill) M.J.Larsen & Lombard,479,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Meripilaceae,3288,Meripilus,2540760,Meripilus sumstinei,2540787,NE
2547092,Cerioporus squamosus (Huds.) Quél.,2547092,Cerioporus squamosus (Huds.) Quél.,471,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Polyporaceae,3286,Cerioporus,7240748,Cerioporus squamosus,2547092,NE
9225326,Strobilomyces strobilaceus (Scop.) Berk.,9225326,Strobilomyces strobilaceus (Scop.) Berk.,454,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Boletales,1063,Boletaceae,8789,Strobilomyces,2524323,Strobilomyces strobilaceus,9225326,NE
2524455,Retiboletus ornatipes (Peck) Manfr.Binder & Bresinsky,2524455,Retiboletus ornatipes (Peck) Manfr.Binder & Bresinsky,404,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Boletales,1063,Boletaceae,8789,Retiboletus,2524444,Retiboletus ornatipes,2524455,NE
10752676,Sebacina schweinitzii (Peck) Oberw.,10752676,Sebacina schweinitzii (Peck) Oberw.,404,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Sebacinales,531,Sebacinaceae,3278,Sebacina,2518415,Sebacina schweinitzii,10752676,NE
2549708,Ganoderma sessile Murrill,2549683,Ganoderma resinaceum Boud.,398,SPECIES,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Ganodermataceae,3290,Ganoderma,2519220,Ganoderma resinaceum,2549683,NE
2542126,Phaeolus schweinitzii (Fr.) Pat.,2542126,Phaeolus schweinitzii (Fr.) Pat.,380,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Fomitopsidaceae,7619,Phaeolus,2519269,Phaeolus schweinitzii,2542126,NE
2542235,"Laetiporus cincinnatus (Morgan) Burds., Banik & T.J.Volk",9072021,Laetiporus sulphureus (Bull.) Murrill,370,SPECIES,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Fomitopsidaceae,7619,Laetiporus,2542160,Laetiporus sulphureus,9072021,NE
7241318,Ganoderma tsugae Murrill,7241318,Ganoderma tsugae Murrill,364,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Ganodermataceae,3290,Ganoderma,2519220,Ganoderma tsugae,7241318,NE
6124406,Clathrus crispatus Thw.,6124406,Clathrus crispatus Thw.,360,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Phallales,532,Phallaceae,3292,Clathrus,5239475,Clathrus crispatus,6124406,NE
2552027,Bondarzewia berkeleyi (Fr.) Bondartsev & Singer,2552027,Bondarzewia berkeleyi (Fr.) Bondartsev & Singer,359,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Russulales,1144,Bondarzewiaceae,7613,Bondarzewia,2542159,Bondarzewia berkeleyi,2552027,NE
2550493,Artomyces pyxidatus (Pers.) Jülich,2550493,Artomyces pyxidatus (Pers.) Jülich,357,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Russulales,1144,Auriscalpiaceae,3283,Artomyces,2550456,Artomyces pyxidatus,2550493,NE
2520543,Fuscoporia gilva (Schwein.) T.Wagner & M.Fisch.,2520519,Phellinus gilvus (Schwein.) Pat.,338,SPECIES,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Hymenochaetales,1304,Hymenochaetaceae,8468,Phellinus,2520108,Phellinus gilvus,2520519,NE
3367713,Craterellus fallax A.H.Sm.,3367713,Craterellus fallax A.H.Sm.,334,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Cantharellales,1300,Cantharellaceae,8457,Craterellus,2521421,Craterellus fallax,3367713,NE
2544953,Phlebia incarnata (Schwein.) Nakasone & Burds.,2544954,Byssomerulius incarnatus (Schwein.) Gilb.,327,SPECIES,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Phanerochaetaceae,7617,Byssomerulius,2523874,Byssomerulius incarnatus,2544954,NE
5243151,Cyathus striatus (Huds.) Willd.,5243151,Cyathus striatus (Huds.) Willd.,325,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Agaricaceae,4170,Cyathus,7413707,Cyathus striatus,5243151,NE
2519084,"Trametes Fr., 1836",2519084,"Trametes Fr., 1836",308,GENUS,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Polyporaceae,3286,Trametes,2519084,,,
2512856,Exidia,2512856,Exidia,299,GENUS,DOUBTFUL,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Auriculariales,1062,Auriculariaceae,8788,Exidia,2512856,,,
2550242,Sparassis spathulata (Schwein.) Fr.,2550242,Sparassis spathulata (Schwein.) Fr.,293,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Sparassidaceae,7616,Sparassis,2550232,Sparassis spathulata,2550242,NE
5244486,Clavulinopsis fusiformis (Sowerby) Corner,5244486,Clavulinopsis fusiformis (Sowerby) Corner,292,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Clavariaceae,8442,Clavulinopsis,2521976,Clavulinopsis fusiformis,5244486,NE
7241861,Cantharellus lateritius (Berk.) Singer,7241861,Cantharellus lateritius (Berk.) Singer,288,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Cantharellales,1300,Cantharellaceae,8457,Cantharellus,9623860,Cantharellus lateritius,7241861,LC
2534625,Coprinellus disseminatus (Pers.) J.E.Lange,2534625,Coprinellus disseminatus (Pers.) J.E.Lange,288,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Psathyrellaceae,4184,Coprinellus,2534558,Coprinellus disseminatus,2534625,NE
2526678,"Marasmius Fr., 1836",2526678,"Marasmius Fr., 1836",284,GENUS,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Marasmiaceae,4179,Marasmius,2526678,,,NE
5246359,Favolus brasiliensis (Fr.) Fr.,5246358,Favolus tenuiculus P.Beauv.,282,SPECIES,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Polyporaceae,3286,Favolus,2527764,Favolus tenuiculus,5246358,NE
9674121,"Calostoma lutescens (Schwein.) Burnap, 1897",9674121,"Calostoma lutescens (Schwein.) Burnap, 1897",278,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Boletales,1063,Calostomataceae,4189,Calostoma,2524283,Calostoma lutescens,9674121,NE
5240273,Amanita flavoconia G.F.Atk.,5240273,Amanita flavoconia G.F.Atk.,267,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Amanitaceae,4171,Amanita,6005964,Amanita flavoconia,5240273,NE
7356946,"Exsudoporus frostii (J.L.Russell) Vizzini, Simonini & Gelardi",9685748,"Butyriboletus frostii (J.L.Russell) G.Wu, Kuan Zhao & Zhu L.Yang",265,SPECIES,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Boletales,1063,Boletaceae,8789,Butyriboletus,8405404,Butyriboletus frostii,9685748,NE
5464310,Panus lecomtei (Fr.) Corner,7648570,Panus neostrigosus Drechsler-Santos & Wartchow,258,SPECIES,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Polyporaceae,3286,Panus,7850509,Panus neostrigosus,7648570,NE
2545315,Lentinus crinitus (L.) Fr.,2545315,Lentinus crinitus (L.) Fr.,250,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Polyporaceae,3286,Lentinus,2526675,Lentinus crinitus,2545315,NE
2536891,Armillaria mellea (Vahl) P.Kumm.,2536891,Armillaria mellea (Vahl) P.Kumm.,239,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Physalacriaceae,4182,Armillaria,2526021,Armillaria mellea,2536891,NE
5243258,Lycoperdon perlatum Pers.,5243258,Lycoperdon perlatum Pers.,231,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Agaricaceae,4170,Lycoperdon,9367003,Lycoperdon perlatum,5243258,LC
7596307,Suillus spraguei (Berk. & M.A.Curtis) Kuntze,7596307,Suillus spraguei (Berk. & M.A.Curtis) Kuntze,231,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Boletales,1063,Suillaceae,8455,Suillus,7414997,Suillus spraguei,7596307,NE
2547301,Trametes conchifer (Schwein.) Pilát,2547299,Poronidulus conchifer (Schwein.) Murrill,229,SPECIES,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Polyporaceae,3286,Poronidulus,2547298,Poronidulus conchifer,2547299,NE
5239950,Scleroderma polyrhizum (J.F.Gmel.) Pers.,5239950,Scleroderma polyrhizum (J.F.Gmel.) Pers.,226,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Boletales,1063,Sclerodermataceae,8453,Scleroderma,2524936,Scleroderma polyrhizum,5239950,NE
2549583,Ganoderma zonatum Murrill,2549583,Ganoderma zonatum Murrill,223,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Ganodermataceae,3290,Ganoderma,2519220,Ganoderma zonatum,2549583,NE
2538254,Gerronema strombodes (Berk. & Mont.) Singer,2538254,Gerronema strombodes (Berk. & Mont.) Singer,220,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Marasmiaceae,4179,Gerronema,2519216,Gerronema strombodes,2538254,NE
9129313,Neolentinus lepideus (Fr.) Redhead & Ginns,9129313,Neolentinus lepideus (Fr.) Redhead & Ginns,220,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Polyporaceae,3286,Neolentinus,2548836,Neolentinus lepideus,9129313,NE
3552956,Lactifluus hygrophoroides (Berk. & M.A.Curtis) Kuntze,7240100,Lactarius hygrophoroides Berk. & M.A.Curtis,206,SPECIES,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Russulales,1144,Russulaceae,7609,Lactarius,2532156,Lactarius hygrophoroides,7240100,NE
7446067,Pluteus cervinus (Schaeff.) P.Kumm.,7446067,Pluteus cervinus (Schaeff.) P.Kumm.,200,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Pluteaceae,8447,Pluteus,2526826,Pluteus cervinus,7446067,NE
2531625,Phyllotopsis nidulans (Pers.) Singer,2531625,Phyllotopsis nidulans (Pers.) Singer,199,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Tricholomataceae,8787,Phyllotopsis,2531624,Phyllotopsis nidulans,2531625,NE
8176354,Sparassis americana R.H.Petersen,8176354,Sparassis americana R.H.Petersen,199,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Sparassidaceae,7616,Sparassis,2550232,Sparassis americana,8176354,NE
7819032,Xylobolus frustulatus (Pers.) P.Karst.,7819032,Xylobolus frustulatus (Pers.) P.Karst.,192,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Russulales,1144,Stereaceae,3279,Xylobolus,2552368,Xylobolus frustulatus,7819032,NE
2526548,Pleurotus pulmonarius (Fr.) Quél.,2526548,Pleurotus pulmonarius (Fr.) Quél.,191,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Pleurotaceae,4183,Pleurotus,2518610,Pleurotus pulmonarius,2526548,NE
2543635,Irpiciporus pachyodon (Pers.) Kotl. & Pouzar,2543628,Sarcodontia pachyodon (Pers.) Spirin,187,SPECIES,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Meruliaceae,3287,Sarcodontia,7720331,Sarcodontia pachyodon,2543628,NE
5239982,Scleroderma citrinum Pers.,5239982,Scleroderma citrinum Pers.,185,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Boletales,1063,Sclerodermataceae,8453,Scleroderma,2524936,Scleroderma citrinum,5239982,NE
3351419,Laccaria ochropurpurea (Berk.) Peck,3351419,Laccaria ochropurpurea (Berk.) Peck,184,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Hydnangiaceae,8445,Laccaria,2526677,Laccaria ochropurpurea,3351419,NE
2551150,Lactifluus volemus (Fr.) Kuntze,5248803,Lactarius volemus (Fr.) Fr.,177,SPECIES,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Russulales,1144,Russulaceae,7609,Lactarius,2532156,Lactarius volemus,5248803,NE
5453425,Lycoperdon marginatum Vittad.,5453425,Lycoperdon marginatum Vittad.,168,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Agaricaceae,4170,Lycoperdon,9072221,Lycoperdon marginatum,5453425,NE
9118025,Panellus stipticus (Bull.) P.Karst.,9118025,Panellus stipticus (Bull.) P.Karst.,167,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Mycenaceae,4180,Panellus,2526673,Panellus stipticus,9118025,NE
5249253,Gloeophyllum sepiarium (Wulfen) P.Karst.,5249253,Gloeophyllum sepiarium (Wulfen) P.Karst.,166,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Gloeophyllales,1065,Gloeophyllaceae,8462,Gloeophyllum,2543117,Gloeophyllum sepiarium,5249253,NE
5244852,Terana coerulea (Lam.) Kuntze,5244852,Terana coerulea (Lam.) Kuntze,166,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Phanerochaetaceae,7617,Terana,2513704,Terana coerulea,5244852,NE
9208081,Trametes gibbosa (Pers.) Fr.,9208081,Trametes gibbosa (Pers.) Fr.,165,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Polyporaceae,3286,Trametes,2519084,Trametes gibbosa,9208081,NE
5452051,Amanita bisporigera G.F.Atk.,5452051,Amanita bisporigera G.F.Atk.,162,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Amanitaceae,4171,Amanita,6005964,Amanita bisporigera,5452051,NE
2531012,Fistulina hepatica (Schaeff.) With.,2531012,Fistulina hepatica (Schaeff.) With.,159,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Fistulinaceae,8443,Fistulina,9072989,Fistulina hepatica,2531012,NE
2522983,Thelephora vialis Schwein.,2522983,Thelephora vialis Schwein.,155,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Thelephorales,530,Thelephoraceae,3277,Thelephora,2513794,Thelephora vialis,2522983,NE
2536054,Calvatia cyathiformis (Bosc) Morgan,2536054,Calvatia cyathiformis (Bosc) Morgan,153,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Agaricaceae,4170,Calvatia,9330501,Calvatia cyathiformis,2536054,NE
2539731,Entoloma abortivum (Berk. & M.A.Curtis) Donk,2539731,Entoloma abortivum (Berk. & M.A.Curtis) Donk,146,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Entolomataceae,4174,Entoloma,2530002,Entoloma abortivum,2539731,NE
3314884,Phallus rugulosus (E.Fisch.) Lloyd,3314884,Phallus rugulosus (E.Fisch.) Lloyd,146,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Phallales,532,Phallaceae,3292,Phallus,2524102,Phallus rugulosus,3314884,NE
5242510,Psilocybe cubensis (Earle) Singer,5242510,Psilocybe cubensis (Earle) Singer,144,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Hymenogastraceae,3309302,Psilocybe,2526775,Psilocybe cubensis,5242510,NE
5242048,Lepista nuda (Bull.) Cooke,5242048,Lepista nuda (Bull.) Cooke,142,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Tricholomataceae,8787,Lepista,2532282,Lepista nuda,5242048,NE
2534522,"Parasola plicatilis (Curtis) Redhead, Vilgalys & Hopple",2534522,"Parasola plicatilis (Curtis) Redhead, Vilgalys & Hopple",141,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Psathyrellaceae,4184,Parasola,2534499,Parasola plicatilis,2534522,NE
2530926,Laccaria laccata (Scop.) Cooke,2530926,Laccaria laccata (Scop.) Cooke,139,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Hydnangiaceae,8445,Laccaria,2526677,Laccaria laccata,2530926,NE
3350173,Cortinarius iodes Berk. & M.A.Curtis,3350173,Cortinarius iodes Berk. & M.A.Curtis,138,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Cortinariaceae,4172,Cortinarius,2524960,Cortinarius iodes,3350173,NE
2535839,Leucoagaricus americanus (Peck) Vellinga,2535839,Leucoagaricus americanus (Peck) Vellinga,138,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Agaricaceae,4170,Leucoagaricus,2529999,Leucoagaricus americanus,2535839,
2520650,Fulvifomes robiniae (Murrill) Murrill,2520642,Phellinus robiniae (Murrill) A.Ames,138,SPECIES,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Hymenochaetales,1304,Hymenochaetaceae,8468,Phellinus,2520108,Phellinus robiniae,2520642,NE
